Year,Countries and Territories,Import Value (EUR Thousand),Export Value (EUR Thousand),Balance (Euro Million)
2026,Singapore,1530.8783000000003,4482.853,2.9519746999999996
2026,Slovakia,441.4657,2208.9309,1.7674652
2026,Slovenia,610.9543,4208.8704,3.5979161
2026,South Africa,7661.3984,12286.432999999999,4.625034599999999
2026,South Korea,1345.4188,5053.991,3.7085722
2026,Spain,69599.0662,58549.3677,-11.049698499999998
2026,Sweden,5653.6939,50231.1757,44.5774818
2026,Switzerland,14565.000100000001,17659.158,3.094157899999998
2026,Taiwan,315.76599999999996,1655.077,1.3393110000000001
2026,Thailand,19889.040800000002,7520.591,-12.368449800000002
2026,Turkey,5248.3222000000005,10647.536,5.399213799999999
2026,USA,86190.40920000001,279235.703,193.0452938
